sample,feature,output_param,shap_value,feature_value
4,33,$\Omega_m$,0.054850912437123034,1.1313481
4,34,$\Omega_m$,0.024972293505949605,1.0758266
4,35,$\Omega_m$,0.06450418604431131,1.0769705
4,36,$\Omega_m$,0.05690661455378477,1.047227
4,37,$\Omega_m$,0.029788706266250898,1.0615953
4,38,$\Omega_m$,0.019684642897724803,1.0147095
4,39,$\Omega_m$,0.0008379410679238697,0.9555971
4,40,$\Omega_m$,-0.003431311989906182,0.95239675
4,41,$\Omega_m$,-0.006809216745605223,0.94585687
4,42,$\Omega_m$,-0.0030783556860600005,0.9405669
4,43,$\Omega_m$,-0.004437766030459894,0.9511605
4,44,$\Omega_m$,0.0020247758864813206,0.8867102
4,45,$\Omega_m$,-0.0029307356174103814,0.9110501
4,46,$\Omega_m$,0.017586922814080013,0.88507944
4,47,$\Omega_m$,0.017169662425481663,0.90588975
4,48,$\Omega_m$,0.01890104847814654,0.83997786
4,49,$\Omega_m$,0.010050864139496596,0.83029306
4,50,$\Omega_m$,0.0005891502767917575,0.80519575
4,51,$\Omega_m$,0.011145264419125556,0.85318303
4,52,$\Omega_m$,0.0068601344277461436,0.79342216
4,53,$\Omega_m$,0.007141073477929851,0.81170255
4,54,$\Omega_m$,-0.002930947031927663,0.7691981
4,55,$\Omega_m$,0.0062725070878514215,0.75568086
4,56,$\Omega_m$,0.0031419719007923508,0.78148085
4,57,$\Omega_m$,0.008112699056703901,0.7643492
4,58,$\Omega_m$,0.0031027096788360056,0.7929521
4,59,$\Omega_m$,-0.004867062709527109,0.8011401
4,60,$\Omega_m$,0.0023948982593477255,0.76353204
4,61,$\Omega_m$,0.0072330682277243164,0.7536195
4,62,$\Omega_m$,-0.0028713838559876192,0.75977445
4,63,$\Omega_m$,-0.008194136146800401,0.7680718
4,64,$\Omega_m$,-0.00962967065597091,0.7716856
4,65,$\Omega_m$,-0.0023100555297666477,0.74488556
4,66,$\Omega_m$,-0.004475954208082837,0.73244864
4,67,$\Omega_m$,-0.008896206383942645,0.7470979
4,68,$\Omega_m$,-0.014450218814702856,0.704928
4,69,$\Omega_m$,-0.009533709083722586,0.73825735
4,70,$\Omega_m$,-0.008947218358128626,0.6920891
4,71,$\Omega_m$,-0.011683086388729868,0.71510416
4,72,$\Omega_m$,-0.027073666741198387,0.72404134
4,73,$\Omega_m$,-0.013692815633815669,0.7071538
4,74,$\Omega_m$,-0.009540712567589538,0.73569244
4,75,$\Omega_m$,-0.01031558948986156,0.69218445
4,76,$\Omega_m$,-0.018651045496614328,0.7234145
4,77,$\Omega_m$,-0.022231534725785113,0.70973825
4,78,$\Omega_m$,-0.011192632163062316,0.70771104
5,0,$\Omega_m$,-0.00410933632557924,-0.6472928
5,1,$\Omega_m$,-0.0015098083700286202,-0.5437293
5,2,$\Omega_m$,0.00980278450103165,-0.48664737
5,3,$\Omega_m$,0.0006920212015878169,-0.17801782
5,4,$\Omega_m$,0.002179505351862935,-0.12138428
5,5,$\Omega_m$,8.264213627021122e-05,0.07536516
5,6,$\Omega_m$,0.006063181138600447,0.10139908
5,7,$\Omega_m$,0.016640696507820397,-0.17962848
5,8,$\Omega_m$,0.02247056802060496,-0.053521562
5,9,$\Omega_m$,-0.006106629887038566,0.16740094
5,10,$\Omega_m$,-0.01166299045060439,0.3078854
5,11,$\Omega_m$,0.004462610404496738,0.6516768
5,12,$\Omega_m$,0.04120057399090608,1.0264856
5,13,$\Omega_m$,0.07363247537461576,0.99523365
5,14,$\Omega_m$,0.09738607447588948,1.4039682
5,15,$\Omega_m$,0.06488706790027207,0.9580585
5,16,$\Omega_m$,-0.004814484154533931,1.0709958
5,17,$\Omega_m$,-0.10927776028896914,1.3153638
5,18,$\Omega_m$,-0.10947533519363568,1.3720546
5,19,$\Omega_m$,-0.11903830773288065,1.2379669
5,20,$\Omega_m$,-0.07627128819100716,1.3557782
5,21,$\Omega_m$,-0.01285722414031624,1.3614893
5,22,$\Omega_m$,0.02401585251075099,1.3358939
5,23,$\Omega_m$,0.12822405852843077,1.494861
5,24,$\Omega_m$,0.19239941158317375,1.3766683
5,25,$\Omega_m$,0.07721680711101728,1.343254
5,26,$\Omega_m$,0.05821590088705609,1.4204187
5,27,$\Omega_m$,0.012729811005944308,1.3322134
5,28,$\Omega_m$,-0.032215154231016646,1.4473662
5,29,$\Omega_m$,-0.08020038825382168,1.3300576
5,30,$\Omega_m$,-0.06734522743664761,1.4124782
5,31,$\Omega_m$,-0.025529090598380794,1.3148309
5,32,$\Omega_m$,-0.020592634310223373,1.3795726
5,33,$\Omega_m$,0.0960209479469631,1.3297887
5,34,$\Omega_m$,0.04814339633933438,1.3889736
5,35,$\Omega_m$,0.08398112436465455,1.323495
5,36,$\Omega_m$,0.08715280385144675,1.3779814
5,37,$\Omega_m$,0.03535041602807118,1.3397598
5,38,$\Omega_m$,0.03790861339114298,1.2962362
5,39,$\Omega_m$,-0.0019074652955654026,1.2733061
5,40,$\Omega_m$,-0.013406550698758402,1.331555
5,41,$\Omega_m$,-0.020394243849441395,1.2764401
5,42,$\Omega_m$,-0.013383488169250335,1.3093551
5,43,$\Omega_m$,0.012115572001785016,1.2814674
5,44,$\Omega_m$,0.017503076383630606,1.2103873
5,45,$\Omega_m$,-0.004974455918709292,1.2253144
5,46,$\Omega_m$,0.010607759829338944,1.2111268
5,47,$\Omega_m$,0.021277468592937426,1.2505641
5,48,$\Omega_m$,0.028032710799810335,1.2149724
5,49,$\Omega_m$,0.015498167617160991,1.2179637
5,50,$\Omega_m$,0.0035501832293455874,1.21571
5,51,$\Omega_m$,0.005294574454116306,1.2077104
5,52,$\Omega_m$,0.011890265823458313,1.186047
5,53,$\Omega_m$,0.007986562659800555,1.1756483
5,54,$\Omega_m$,-0.002541179024920001,1.1532552
5,55,$\Omega_m$,0.012754513651113178,1.1464655
5,56,$\Omega_m$,0.0008090125380977078,1.1483879
5,57,$\Omega_m$,0.009568887247272256,1.170738
5,58,$\Omega_m$,0.003253204911688956,1.1625007
5,59,$\Omega_m$,-0.009890697909092203,1.1702338
5,60,$\Omega_m$,0.001230955541444349,1.1605848
5,61,$\Omega_m$,0.007888173100112209,1.1269171
5,62,$\Omega_m$,-0.0008228071777072373,1.1437695
5,63,$\Omega_m$,-0.008922678935535574,1.140132
5,64,$\Omega_m$,-0.019835719585244067,1.1100515
5,65,$\Omega_m$,-0.012375261628876625,1.1644334
5,66,$\Omega_m$,-0.009776144946805907,1.1528624
5,67,$\Omega_m$,-0.022264196561688248,1.1166062
5,68,$\Omega_m$,-0.009922375488094945,1.144022
5,69,$\Omega_m$,-0.022726763171182624,1.1020106
5,70,$\Omega_m$,-0.019126956302983084,1.130567
5,71,$\Omega_m$,-0.020841515113158193,1.1179228
5,72,$\Omega_m$,-0.039147896487265806,1.1050651
5,73,$\Omega_m$,-0.02897971696458021,1.1310226
5,74,$\Omega_m$,-0.030268016732998133,1.1255598
5,75,$\Omega_m$,-0.02280082462088708,1.1077943
5,76,$\Omega_m$,-0.02366559122087894,1.1036844
5,77,$\Omega_m$,-0.03777606285364527,1.0859864
5,78,$\Omega_m$,0.0034712119604106972,1.1273441
6,0,$\Omega_m$,0.007146393872487028,-0.39342383
6,1,$\Omega_m$,0.004846845597494394,-0.6546865
6,2,$\Omega_m$,0.036334255816909716,-0.5367318
6,3,$\Omega_m$,0.007331030621814218,-0.23245332
6,4,$\Omega_m$,0.009441239344887433,0.22729519
6,5,$\Omega_m$,0.0046428600287375206,0.45326203
6,6,$\Omega_m$,-0.002183260757010428,0.40176243
